2023-08-16 15:26:35,174 | __main__ | INFO | Location of max pressure: (64.0, 64.0, 80.0).
2023-08-16 15:26:35,175 | __main__ | INFO | Isppa = 20.39488698855673 W/cm2
2023-08-16 15:26:35,175 | __main__ | INFO | Ispta = 2039.4886988556732 mW/cm2
2023-08-16 15:32:13,251 | __main__ | INFO | PPW = 3.0
2023-08-16 15:32:13,251 | __main__ | INFO | CFL = 0.3
2023-08-16 15:32:13,252 | __main__ | INFO | source_amp.dim = [51590. 51590. 51590. 51590.]
2023-08-16 15:32:13,253 | __main__ | INFO | source_phase.dim = [0.         5.56760031 4.85201532 4.13643033]
2023-08-16 15:38:57,889 | __main__ | INFO | simulation_options
2023-08-16 15:38:57,889 | __main__ | INFO | execution_options
2023-08-16 15:38:57,890 | __main__ | INFO | kspaceFirstOrder3DG
2023-08-16 15:41:34,113 | __main__ | INFO | extract_amp_phase
2023-08-16 15:41:39,819 | __main__ | INFO | Max Pressure = 0.7822062449614564 MPa
2023-08-16 15:41:39,819 | __main__ | INFO | MI = 1.106206680197423
2023-08-16 15:41:39,820 | __main__ | INFO | Coordinates of max pressure: (64, 64, 80).
2023-08-16 15:41:39,820 | __main__ | INFO | Location of max pressure: (64.0, 64.0, 80.0).
2023-08-16 15:41:39,820 | __main__ | INFO | Isppa = 20.39488698855673 W/cm2
2023-08-16 15:41:39,820 | __main__ | INFO | Ispta = 2039.4886988556732 mW/cm2
